19/10/2023 14:52:06 - Alagoas - 0809140-91.2023.8.02.0000 - Não há ofício precatório - https://www2.tjal.jus.br
19/10/2023 14:52:15 - Alagoas - 0703633-80.2019.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:22 - Alagoas - 0700066-68.2018.8.02.0068 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:28 - Alagoas - 0000354-41.2014.8.02.0054 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:34 - Alagoas - 0714400-80.2019.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:40 - Alagoas - 0719055-32.2018.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:46 - Alagoas - 0719411-56.2020.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:52 - Alagoas - 0722650-05.2019.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:52:58 - Alagoas - 0727005-29.2017.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:03 - Alagoas - 0729611-25.2020.8.02.0001 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:09 - Alagoas - 0700133-87.2021.8.02.0016 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:15 - Alagoas - 0700213-78.2017.8.02.0020 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:21 - Alagoas - 0000801-84.2013.8.02.0047 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:27 - Alagoas - 0700272-09.2022.8.02.0047 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:33 - Alagoas - 0700272-72.2023.8.02.0047 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:39 - Alagoas - 0700452-93.2020.8.02.0047 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:44 - Alagoas - 0700652-66.2021.8.02.0047 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:53 - Alagoas - 0700234-81.2018.8.02.0032 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:53:59 - Alagoas - 0700396-13.2017.8.02.0032 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:05 - Alagoas - 0700472-71.2016.8.02.0032 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:11 - Alagoas - 0700633-42.2020.8.02.0032 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:18 - Alagoas - 0700890-43.2016.8.02.0053 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:23 - Alagoas - 0700543-08.2019.8.02.0149 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:29 - Alagoas - 0705322-85.2019.8.02.0058 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 14:54:35 - Alagoas - 0002084-39.2013.8.02.0049 - Não há ofício precatório expedido. - https://www2.tjal.jus.br
19/10/2023 15:36:29 - São Paulo - 0063572-47.2011.8.26.0000 - Não há ofício precatório. - https://esaj.tjsp.jus.br
