TRIBUNAL trf4 | PROCESSO ---> 0004795562013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004577572015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0003409832016.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002231702014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002231702014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5001949-34.2015.4.04.7005/PR
TRIBUNAL trf4 | PROCESSO ---> 0002416452013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002416452013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5000144-52.2016.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5000144-52.2016.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5067597-93.2017.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5051080-76.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5051080-76.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 0004320032013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004320032013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0000198152011.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004996142014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004996142014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5059496-33.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5059496-33.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5052755-49.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5052755-49.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 0003659532015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0003659532015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004577572015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0003409832016.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002231702014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002231702014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5001949-34.2015.4.04.7005/PR
TRIBUNAL trf4 | PROCESSO ---> 0002416452013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0002416452013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5000144-52.2016.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5000144-52.2016.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5067597-93.2017.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5051080-76.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5051080-76.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 0004320032013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004320032013.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0000198152011.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004996142014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0004996142014.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5059496-33.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5059496-33.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5052755-49.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5052755-49.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 0003659532015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0003659532015.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0003564182018.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0001600342011.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 0001600342011.8.16.0104/PR
TRIBUNAL trf4 | PROCESSO ---> 5080673-19.2019.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5040022-22.2017.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5043122-39.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5043122-39.2018.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5000726-37.2020.4.04.7016/PR
TRIBUNAL trf4 | PROCESSO ---> 5000726-37.2020.4.04.7016/PR
TRIBUNAL trf4 | PROCESSO ---> 5026142-61.2011.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 0001453022014.8.16.0169/PR
TRIBUNAL trf4 | PROCESSO ---> 5000426232021.8.210068/RS
TRIBUNAL trf4 | PROCESSO ---> 5001371552020.8.210032/RS
TRIBUNAL trf4 | PROCESSO ---> 5000395782020.8.210119/RS
TRIBUNAL trf4 | PROCESSO ---> 5061866-96.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5061866-96.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 0000207892017.8.16.0128/PR
TRIBUNAL trf4 | PROCESSO ---> 5000013752013.8.210040/RS
TRIBUNAL trf4 | PROCESSO ---> 5027511-61.2014.4.04.7108/RS
TRIBUNAL trf4 | PROCESSO ---> 5027511-61.2014.4.04.7108/RS
TRIBUNAL trf4 | PROCESSO ---> 5027511-61.2014.4.04.7108/RS
TRIBUNAL trf4 | PROCESSO ---> 5001558-76.2020.4.04.7014/PR
TRIBUNAL trf4 | PROCESSO ---> 5001558-76.2020.4.04.7014/PR
TRIBUNAL trf4 | PROCESSO ---> 5001883-85.2019.4.04.7014/PR
TRIBUNAL trf4 | PROCESSO ---> 5000138882014.8.210143/RS
TRIBUNAL trf4 | PROCESSO ---> 5000070-86.2020.4.04.7111/RS
TRIBUNAL trf4 | PROCESSO ---> 5000070-86.2020.4.04.7111/RS
TRIBUNAL trf4 | PROCESSO ---> 5000698-58.2019.4.04.7128/RS
TRIBUNAL trf4 | PROCESSO ---> 5000698-58.2019.4.04.7128/RS
TRIBUNAL trf4 | PROCESSO ---> 5000843322021.8.24.0087/SC
TRIBUNAL trf4 | PROCESSO ---> 5000302-90.2018.4.04.7201/SC
TRIBUNAL trf4 | PROCESSO ---> 5000302-90.2018.4.04.7201/SC
TRIBUNAL trf4 | PROCESSO ---> 5015485-66.2011.4.04.7001/PR
TRIBUNAL trf4 | PROCESSO ---> 5015485-66.2011.4.04.7001/PR
TRIBUNAL trf4 | PROCESSO ---> 0001302262018.8.16.0127/PR
TRIBUNAL trf4 | PROCESSO ---> 5013042-08.2017.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5013042-08.2017.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5019468-95.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5019468-95.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5096575-12.2019.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5096575-12.2019.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5003523-61.2017.4.04.7122/RS
TRIBUNAL trf4 | PROCESSO ---> 5009599-46.2012.4.04.7100/RS
TRIBUNAL trf4 | PROCESSO ---> 5001031-94.2020.4.04.7121/RS
TRIBUNAL trf4 | PROCESSO ---> 5045930-89.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5000100-42.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5000100-42.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5041930-46.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5041930-46.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5038597-57.2017.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5038597-57.2017.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5049583-36.2018.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5035853-84.2020.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5058754-22.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5058754-22.2015.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5004234-74.2018.4.04.7205/SC
